::1 - - [03/Jan/2024:18:26:44 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [03/Jan/2024:18:26:45 +0000] "GET /premium/getDownloadedFiles HTTP/1.1" 201 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [03/Jan/2024:18:26:45 +0000] "GET /expense/get-expenses?page=1&pageSize=5 HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [03/Jan/2024:18:26:45 +0000] "GET /user/totalExpense HTTP/1.1" 201 29 "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [03/Jan/2024:18:26:45 +0000] "GET /favicon.ico HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [06/Jan/2024:08:26:43 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:26:53 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:27:15 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:30:21 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:34:22 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:34:24 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:35:48 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:35:49 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:35:56 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:36:02 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:37:27 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:37:31 +0000] "POST /expense/add-expense HTTP/1.1" 401 17 "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:38:29 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:38:49 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:38:51 +0000] "POST /expense/add-expense HTTP/1.1" 401 17 "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:38:55 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:38:56 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:38:57 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:10 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:10 +0000] "GET /login HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:17 +0000] "GET /home HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:17 +0000] "GET /login HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:36 +0000] "POST /user/login HTTP/1.1" 200 178 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:36 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:36 +0000] "GET /premium/getDownloadedFiles HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:36 +0000] "GET /expense/get-expenses?page=1&pageSize=5 HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:36 +0000] "GET /user/totalExpense HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:08:41:47 +0000] "GET /login HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:48:56 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:49:01 +0000] "GET /signup HTTP/1.1" 200 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:51:49 +0000] "POST /user/signup HTTP/1.1" 201 43 "http://localhost:3000/signup" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:51:49 +0000] "GET /login HTTP/1.1" 304 - "http://localhost:3000/signup" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:52:17 +0000] "GET /signup HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:52:32 +0000] "POST /user/signup HTTP/1.1" 201 43 "http://localhost:3000/signup" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:52:32 +0000] "GET /login HTTP/1.1" 304 - "http://localhost:3000/signup" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:53:32 +0000] "POST /user/login HTTP/1.1" 401 52 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:53:41 +0000] "POST /user/login HTTP/1.1" 401 52 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:53:43 +0000] "POST /user/login HTTP/1.1" 401 52 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:53:52 +0000] "POST /user/login HTTP/1.1" 401 52 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:02 +0000] "POST /user/login HTTP/1.1" 401 52 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:09 +0000] "POST /user/login HTTP/1.1" 401 52 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:22 +0000] "POST /user/login HTTP/1.1" 401 52 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:49 +0000] "POST /user/login HTTP/1.1" 200 178 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:49 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:50 +0000] "GET /premium/getDownloadedFiles HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:50 +0000] "GET /expense/get-expenses?page=1&pageSize=5 HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:50 +0000] "GET /user/totalExpense HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:54:59 +0000] "GET /login HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:55:05 +0000] "GET /home HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
::ffff:127.0.0.1 - - [06/Jan/2024:11:55:05 +0000] "GET /login HTTP/1.1" 304 - "http://localhost:3000/home" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"
